epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,297.105,1.5295,3.42803,1.49202,0.81542,0.13324,0.12568,0.06456,1.84273,6.31258,1.69404,0.00333179,0.00333179,0.0700139
2,586.398,1.52702,2.64274,1.46523,0.791,0.14261,0.12916,0.06514,1.90972,6.18196,1.92815,0.00662113,0.00662113,0.0399699
3,873.407,1.55868,2.52796,1.49609,0.56102,0.13092,0.12653,0.06187,1.87578,6.0977,1.78757,0.00986647,0.00986647,0.00988194
4,1160.74,1.61106,2.46933,1.53083,0.65043,0.14102,0.14114,0.06904,1.89781,4.43758,1.82161,0.009802,0.009802,0.009802
5,1448.57,1.53322,2.26487,1.48029,0.64278,0.15651,0.15014,0.07437,1.81427,4.38514,1.7003,0.009736,0.009736,0.009736
6,1738.32,1.49038,2.15841,1.44868,0.69825,0.1703,0.17406,0.08663,1.79334,4.00733,1.71497,0.00967,0.00967,0.00967
7,2027.77,1.42259,2.04095,1.40777,0.60104,0.16946,0.1618,0.0789,1.78189,3.75352,1.66305,0.009604,0.009604,0.009604
8,2316.1,1.39657,1.98197,1.39463,0.59971,0.18204,0.17135,0.09254,1.72721,4.10458,1.63537,0.009538,0.009538,0.009538
9,2608.85,1.36189,1.93548,1.3845,0.75949,0.16898,0.18478,0.10128,1.6986,3.65161,1.57564,0.009472,0.009472,0.009472
10,2898.32,1.34357,1.88886,1.37376,0.70531,0.18583,0.18562,0.09904,1.71792,4.25998,1.59925,0.009406,0.009406,0.009406
11,3188.64,1.33037,1.84386,1.35928,0.61275,0.19029,0.18799,0.10282,1.6875,4.55274,1.59109,0.00934,0.00934,0.00934
12,3488.97,1.30177,1.7814,1.3431,0.59894,0.16454,0.17414,0.09916,1.65631,3.35663,1.57703,0.009274,0.009274,0.009274
13,3780.46,1.28121,1.73656,1.3308,0.61657,0.19262,0.17469,0.09529,1.73937,4.15737,1.64485,0.009208,0.009208,0.009208
14,4067.84,1.27453,1.72121,1.31891,0.49879,0.18155,0.18543,0.10945,1.65616,3.40156,1.55296,0.009142,0.009142,0.009142
15,4355.46,1.26389,1.71674,1.3192,0.60364,0.2228,0.18893,0.10656,1.63208,4.02808,1.52368,0.009076,0.009076,0.009076
16,4641.67,1.23522,1.68102,1.30653,0.57694,0.21591,0.19721,0.10973,1.62347,3.74425,1.51436,0.00901,0.00901,0.00901
